CoordX,CoordY
136337.5,455937.5
136437.5,455937.5
137112.5,455937.5
137337.5,455937.5
138687.5,455937.5
135337.5,455912.5
135612.5,455912.5
136787.5,455912.5
137062.5,455912.5
137312.5,455912.5
137512.5,455912.5
137537.5,455912.5
137862.5,455912.5
137987.5,455912.5
138062.5,455912.5
134012.5,455887.5
134787.5,455887.5
135212.5,455887.5
135462.5,455887.5
136412.5,455887.5
136912.5,455887.5
137012.5,455887.5
138062.5,455887.5
138087.5,455887.5
138537.5,455887.5
135062.5,455862.5
135387.5,455862.5
136462.5,455862.5
136662.5,455862.5
137012.5,455862.5
137862.5,455862.5
138062.5,455862.5
138287.5,455862.5
138712.5,455862.5
138862.5,455862.5
135737.5,455837.5
136062.5,455837.5
136187.5,455837.5
136512.5,455837.5
137087.5,455837.5
137262.5,455837.5
138887.5,455837.5
135262.5,455812.5
135337.5,455812.5
135412.5,455812.5
135837.5,455812.5
136137.5,455812.5
136162.5,455812.5
136587.5,455812.5
137062.5,455812.5
137687.5,455812.5
135087.5,455787.5
135112.5,455787.5
135412.5,455787.5
136037.5,455787.5
136537.5,455787.5
137412.5,455787.5
137962.5,455787.5
134812.5,455762.5
135687.5,455762.5
136362.5,455762.5
134012.5,455737.5
134162.5,455737.5
134887.5,455737.5
134912.5,455737.5
136212.5,455737.5
136437.5,455737.5
137912.5,455737.5
138337.5,455737.5
138712.5,455737.5
134012.5,455712.5
135087.5,455712.5
135937.5,455712.5
136012.5,455687.5
136437.5,455687.5
138262.5,455687.5
134087.5,455662.5
134112.5,455662.5
134187.5,455662.5
135187.5,455662.5
135587.5,455662.5
135912.5,455662.5
137962.5,455662.5
138937.5,455662.5
136587.5,455637.5
136737.5,455637.5
136987.5,455637.5
137737.5,455637.5
137762.5,455637.5
137987.5,455637.5
138337.5,455637.5
138887.5,455637.5
134087.5,455612.5
134237.5,455612.5
135337.5,455612.5
135637.5,455612.5
135812.5,455612.5
138237.5,455612.5
139287.5,455612.5
134537.5,455587.5
135562.5,455587.5
135962.5,455587.5
136187.5,455587.5
138237.5,455587.5
138962.5,455587.5
139062.5,455587.5
134187.5,455562.5
136187.5,455562.5
136262.5,455562.5
136987.5,455562.5
137062.5,455562.5
134337.5,455537.5
135312.5,455537.5
136887.5,455537.5
137362.5,455537.5
134812.5,455512.5
135062.5,455512.5
135612.5,455512.5
135837.5,455512.5
136787.5,455512.5
137212.5,455512.5
138987.5,455512.5
134437.5,455487.5
134487.5,455487.5
134537.5,455487.5
135612.5,455487.5
136787.5,455487.5
138312.5,455487.5
138962.5,455487.5
136787.5,455462.5
137512.5,455462.5
134437.5,455437.5
135112.5,455437.5
135587.5,455437.5
136337.5,455437.5
136937.5,455437.5
136962.5,455437.5
137062.5,455437.5
137162.5,455437.5
137462.5,455437.5
137512.5,455437.5
139237.5,455437.5
136587.5,455412.5
137837.5,455412.5
135462.5,455387.5
136937.5,455387.5
137687.5,455387.5
138562.5,455387.5
139212.5,455387.5
135637.5,455362.5
135887.5,455362.5
136437.5,455362.5
137812.5,455362.5
134262.5,455337.5
135637.5,455337.5
135912.5,455337.5
137637.5,455337.5
138187.5,455337.5
134587.5,455312.5
135437.5,455312.5
136437.5,455312.5
137012.5,455312.5
137487.5,455312.5
137937.5,455312.5
135412.5,455287.5
136087.5,455287.5
136362.5,455287.5
136762.5,455287.5
137437.5,455287.5
137637.5,455287.5
137812.5,455287.5
137862.5,455287.5
138112.5,455287.5
138262.5,455287.5
138812.5,455287.5
138862.5,455287.5
139137.5,455287.5
135537.5,455262.5
135862.5,455262.5
137437.5,455262.5
134387.5,455237.5
134862.5,455237.5
135137.5,455237.5
135387.5,455237.5
136837.5,455237.5
137012.5,455237.5
137962.5,455237.5
139112.5,455237.5
134337.5,455212.5
135862.5,455212.5
136787.5,455212.5
137537.5,455212.5
137837.5,455212.5
137862.5,455212.5
135012.5,455187.5
135362.5,455187.5
136712.5,455187.5
136962.5,455187.5
138162.5,455187.5
138287.5,455187.5
138712.5,455187.5
134287.5,455162.5
135537.5,455162.5
135737.5,455162.5
137112.5,455162.5
138612.5,455162.5
135412.5,455137.5
135712.5,455137.5
136387.5,455137.5
137137.5,455137.5
134312.5,455112.5
134562.5,455112.5
134787.5,455112.5
134737.5,455087.5
136162.5,455087.5
138037.5,455087.5
134712.5,455062.5
136787.5,455062.5
137937.5,455062.5
138012.5,455062.5
138087.5,455062.5
138137.5,455062.5
135137.5,455037.5
137562.5,455037.5
137912.5,455037.5
138312.5,455037.5
136087.5,455012.5
136912.5,455012.5
137312.5,455012.5
137487.5,455012.5
137862.5,455012.5
139137.5,455012.5
134612.5,454987.5
135637.5,454987.5
135862.5,454987.5
136537.5,454987.5
137487.5,454987.5
136137.5,454962.5
136187.5,454962.5
137587.5,454962.5
137712.5,454962.5
137737.5,454962.5
137987.5,454962.5
138012.5,454962.5
137487.5,454937.5
137887.5,454937.5
138187.5,454937.5
138362.5,454937.5
134362.5,454912.5
135962.5,454912.5
136062.5,454912.5
137737.5,454912.5
138087.5,454912.5
138537.5,454912.5
136937.5,454887.5
138037.5,454887.5
138662.5,454887.5
136037.5,454862.5
136287.5,454862.5
136637.5,454862.5
135987.5,454837.5
136062.5,454837.5
136862.5,454837.5
137387.5,454837.5
137937.5,454837.5
138087.5,454837.5
134837.5,454812.5
